NTEE-CC,NTEEV2,Description,Extended Description,Policy Area
O0130,AA-HMS-O30,Alliance/Advocacy Organizations,"Providing support to programs, also known as adult/child mentoring programs, that provide male or female adult companionship, guidance and/or role models for young men or women. Use this code for all adult, child matching programs other than Big Brothers or Big Sisters.",Education
O02,MT-HMS-O00,Management and Technical Assistance,NA,Unmapped
O03,PA-HMS-O00,Professional Societies/Associations,NA,Unmapped
O0320,PA-HMS-O20,Professional Societies/Associations,"Providing support to organizations that provide supervised recreational and social activities for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, through youth-oriented clubs or centers with the objective of building character and developing leadership and social skills among participants. Use this code for teen centers and clubs other than Boys Clubs, Girls Clubs or Boys and Girls Clubs, e.g., Police Athletic Leagues.",Education
O05,RP-HMS-O00,Research Institutes and/or Public Policy Analysis,NA,Unmapped
O11,MS-HMS-O00,Monetary Support - Single Organization,NA,Unmapped
O1120,MS-HMS-O20,Monetary Support - Single Organization,"Providing support to organizations that provide supervised recreational and social activities for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, through youth-oriented clubs or centers with the objective of building character and developing leadership and social skills among participants. Use this code for teen centers and clubs other than Boys Clubs, Girls Clubs or Boys and Girls Clubs, e.g., Police Athletic Leagues.",Education
O1152,MS-HMS-O52,Monetary Support - Single Organization,"Providing support to organizations like 4-H Club, and Future Homemakers that emphasize the total development of young people through work on animal, engineering, family/consumer health, resource, plant or social science projects in consultation with their parents and supervising adult volunteers. Members also participate in camping activities, leadership conferences, awards programs and community service activities.",Education
O12,MM-HMS-O00,Monetary Support - Multiple Organizations,NA,Unmapped
O1223,MM-HMS-O23,Monetary Support - Multiple Organizations,"Providing support to organizations specifically designated as Boys and Girls Clubs that provide a wide range of supervised activities and delinquency prevention services for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, with the objective of building character and developing leadership and social skills among participants.",Education
O19,NS-HMS-O00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Unmapped
O20,RG-HMS-O20,"Organizations that provide supervised recreational and social activities for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, through youth-oriented clubs or centers with the objective of building character and developing leadership and social skills among participants. Use this code for teen centers and clubs other than Boys Clubs, Girls Clubs or Boys and Girls Clubs, e.g., Police Athletic Leagues.",NA,Education
O21,RG-HMS-O21,"Organizations specifically designated as Boys Clubs that provide a wide range of supervised activities and delinquency prevention services for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, with the objective of building character and developing leadership and social skills among participants.",NA,Education
O22,RG-HMS-O22,"Organizations specifically designated as Girls Clubs that provide a wide range of supervised activities and delinquency prevention services for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, with the objective of building character and developing leadership and social skills among participants.",NA,Education
